"","custid","SUBSCRIBE","Disc","Title","LastOrder","Pcode","DA_Income","DA_Under20","DA_Over60","DA_Single","NumDeliv","NumMeals","MealsPerDeliv","Healthy","Veggie","Meaty","Special","TotPurch","Weeks3Meals","Sample"
"1",1309346,NA,"Senior","Mr",2018-01-26,"B0V 2H9",57.5,137,105,27,23,46,2,9,26,10,1,481.913162201643,NA,"Holdout"
"2",2871764,NA,"NA","NA",2018-01-27,"J6R 3P0",73.7,65,186,17,14,14,1,2,1,0,11,175.990933530033,NA,"Holdout"
"3",3150558,"N","NA","Mr",2018-01-15,"L9N 0L2",53.3,313,176,3,10,10,1,6,1,0,3,117.933824528009,NA,"Validation"
"4",3013411,NA,"Senior","Mrs",2018-02-14,"B1K 1E1",101.9,236,98,39,47,47,1,2,10,31,4,599.894813744351,1,"Holdout"
"5",2600646,"N","NA","NA",2017-12-18,"L3V 1R5",76.6,196,80,34,10,20,2,12,1,7,0,235.538737848401,NA,"Validation"
"6",2688939,"N","NA","NA",2018-01-10,"G0S 1C4",53.6,248,177,50,19,38,2,30,0,5,3,505.544778317213,NA,"Estimation"
"7",1257481,"N","Senior","NA",2018-01-21,"T1L 2L5",79.7,203,97,28,34,68,2,3,0,64,1,698.185572229326,NA,"Estimation"
"8",2488195,"N","NA","NA",2018-02-07,"T1P 0G1",84.8,108,240,72,27,54,2,34,9,1,10,657.430803503841,NA,"Validation"
"9",1995616,NA,"NA","Mr",2018-01-14,"V1R 2A4",81.5,51,257,51,30,60,2,9,17,17,17,656.644352562726,NA,"Holdout"
"10",1306166,NA,"NA","Mr",2017-12-07,"B1K 2R",63.9,185,223,43,17,51,3,28,5,5,13,705.900804994628,NA,"Holdout"
"11",1219043,"Y","NA","Mrs",2018-02-24,"J0M 0C",100.2,178,101,19,50,100,2,9,0,7,84,1256.21709693223,5,"Estimation"
"12",3103284,"N","NA","Mr",2018-01-03,"J0E 1H",77.8,125,97,32,20,60,3,4,29,20,7,835.265195332468,NA,"Validation"
"13",2148328,NA,"NA","NA",2018-02-18,"H7X 3L",57.6,229,147,12,25,50,2,12,2,29,7,599.633351247758,NA,"Holdout"
"14",2052620,"N","Student","Mr",2018-01-06,"M8V 2J",25.7,177,155,29,20,20,1,13,2,4,1,257.905404679477,NA,"Validation"
"15",2838135,"N","Senior","Mr",2018-02-18,"E5M 3X",92.5,257,142,45,15,30,2,24,2,1,3,337.57242936641,NA,"Validation"
"16",1451760,NA,"NA","Mr",2018-02-21,"E4T 0H",69.1,290,144,66,35,70,2,2,3,21,44,825.353657733649,NA,"Holdout"
"17",1814758,NA,"NA","NA",2018-01-25,"H3J 1L",69.7,156,124,36,30,60,2,28,3,19,10,672.497402541339,NA,"Holdout"
"18",2725645,"N","Senior","NA",2017-11-13,"G6G 0C",88.9,138,244,68,7,14,2,1,0,8,5,167.435503393412,NA,"Estimation"
"19",2748637,NA,"Senior","Mr",2018-02-19,"E2A 1T",86.4,210,124,72,25,25,1,11,0,3,11,290.981224831194,NA,"Holdout"
"20",3156128,NA,"NA","Ms",2017-12-29,"E5T 3G",81.9,299,162,60,14,42,3,37,4,0,1,516.785287097096,NA,"Holdout"
"21",2555141,"N","NA","Ms",2018-03-01,"K9V 2C1",88.4,78,132,41,19,38,2,32,2,0,4,503.106219183654,NA,"Validation"
"22",2798497,"Y","NA","Mr",2018-02-15,"B1G 3Z9",85.6,141,116,59,41,41,1,2,4,5,30,479.421000510454,0,"Validation"
"23",1802182,"N","Senior","Mrs",2018-01-21,"T4L 0G4",71.5,149,122,6,22,22,1,10,1,10,1,292.329292908311,NA,"Validation"
"24",2238913,"N","NA","Mr",2017-12-28,"E4H 0Z5",30.2,226,85,42,28,56,2,17,6,13,20,589.742220491171,NA,"Estimation"
"25",2765857,"N","Student","Mr",2018-01-06,"G6G 1L2",82.4,366,144,26,16,16,1,3,6,5,2,187.689599573612,NA,"Estimation"
"26",1561137,"N","NA","Mrs",2018-02-24,"E1J 2Y1",68.9,167,154,11,28,56,2,41,8,2,5,637.888916477561,NA,"Validation"
"27",3017936,"N","NA","Ms",2017-12-28,"R9A 2T9",66.9,170,168,56,16,32,2,24,2,1,5,397.685150384903,NA,"Estimation"
"28",2309600,NA,"Senior","NA",2018-02-23,"K2S 1Z3",40.6,80,219,45,23,46,2,33,1,0,12,463.040530487895,NA,"Holdout"
"29",1406463,NA,"NA","Mrs",2018-02-23,"T4V 0R3",60.4,127,90,26,27,54,2,8,23,1,22,690.559849016368,NA,"Holdout"
"30",3082479,"N","NA","Mr",2018-01-04,"R5G 2J",78.4,253,125,39,15,30,2,18,6,1,5,301.415935233235,NA,"Estimation"
"31",1296925,"N","NA","Mr",2017-12-30,"J0X 2W",NA,147,NA,NA,16,32,2,12,10,0,10,395.605615258217,NA,"Validation"
"32",2251336,"N","NA","NA",2017-12-06,"E8A 3R",67.9,165,161,2,18,36,2,11,0,0,25,369.741889022291,NA,"Estimation"
"33",2292588,"N","Senior","NA",2017-11-30,"K7G 0Y",77.8,175,295,54,20,40,2,14,7,0,19,526.959431692958,NA,"Validation"
"34",1406081,NA,"NA","Ms",2017-12-15,"G6L 3T",68.9,195,192,33,26,26,1,4,9,13,0,314.709384173155,NA,"Holdout"
"35",1122253,NA,"NA","Mr",2017-12-07,"B2E 1P",42.5,313,132,12,18,54,3,10,0,3,41,693.590833380818,NA,"Holdout"
"36",2262556,"N","NA","Mrs",2018-02-22,"R1A 1W",61.7,287,219,24,18,36,2,0,9,4,23,448.332566209137,NA,"Estimation"
"37",2122315,"N","NA","Ms",2017-12-18,"G5V 1H",62.1,340,141,52,19,38,2,0,6,14,18,490.820212513208,NA,"Validation"
"38",1561842,"N","NA","Ms",2018-02-05,"J8N 2W",68.8,70,163,34,9,18,2,4,0,4,10,238.674794532359,NA,"Validation"
"39",2543198,NA,"NA","Mrs",2018-01-13,"M4W 2R",92,167,145,72,31,93,3,8,16,7,62,984.666083017364,NA,"Holdout"
"40",1714937,"N","Senior","Mr",2018-01-31,"J5R 0V",85.3,273,156,37,14,42,3,7,1,31,3,421.361291717738,NA,"Validation"
"41",1398613,NA,"NA","NA",2018-01-15,"N3Y 0L3",66.7,178,187,70,14,28,2,3,0,14,11,372.243973053992,NA,"Holdout"
"42",3128389,NA,"NA","NA",2017-11-23,"L7B 0K9",64.9,222,101,48,19,38,2,1,0,4,33,385.734863240272,NA,"Holdout"
"43",2557964,NA,"NA","NA",2018-01-16,"E3E 3C8",83.9,154,269,25,28,56,2,23,3,9,21,768.242151126266,NA,"Holdout"
"44",3121958,"N","NA","Mrs",2017-11-19,"M1B 2Y6",81.1,69,133,7,9,18,2,10,0,5,3,218.387309420854,NA,"Validation"
"45",1550797,"N","NA","NA",2017-12-12,"L7J 1W0",56.2,115,167,29,18,36,2,0,0,3,33,436.046545945108,NA,"Validation"
"46",2370414,NA,"NA","NA",2017-11-25,"B2G 2Z3",55.9,332,281,63,19,38,2,12,0,1,25,476.281013023108,NA,"Holdout"
"47",1878271,"N","NA","NA",2017-11-12,"T4X 2L5",77.3,181,145,44,10,20,2,3,4,5,8,279.707359522581,NA,"Estimation"
"48",3149157,"Y","Student","Mr",2018-02-10,"L9S 0V2",85.4,325,123,35,7,14,2,1,2,0,11,145.763400565833,2,"Estimation"
"49",2039386,"N","NA","NA",2017-12-08,"E8P 0P8",67.8,260,274,17,20,40,2,4,11,5,20,405.159572660923,NA,"Validation"
"50",2363491,"N","NA","Ms",2017-11-26,"E7P 3V",87.6,249,110,76,15,30,2,25,1,0,4,345.590822808444,NA,"Validation"
"51",1933275,"N","NA","Mr",2018-01-15,"E4X 3R",NA,313,NA,NA,33,66,2,34,1,0,31,917.415574360639,NA,"Validation"
"52",2209558,NA,"NA","Ms",2018-02-12,"E8P 2J",NA,88,NA,NA,14,28,2,5,8,0,15,287.289847150445,NA,"Holdout"
"53",2652116,NA,"NA","NA",2017-12-21,"T7Z 0L",76.8,157,146,56,19,38,2,22,1,8,7,424.473860166967,NA,"Holdout"
"54",2719612,"N","NA","Mr",2018-03-01,"J5A 1G",47.4,178,140,46,26,52,2,29,3,12,8,553.254769995809,NA,"Validation"
"55",2106956,"N","Senior","NA",2018-01-15,"E5P 2J",98.7,135,109,66,36,72,2,0,7,19,46,768.637147039175,NA,"Estimation"
"56",2504918,"N","Senior","Mr",2018-01-03,"J8N 0S",109.6,182,96,27,25,50,2,26,11,0,13,571.750336978585,NA,"Estimation"
"57",3082038,"N","NA","Mr",2018-01-29,"E5M 0C",62.7,54,186,67,39,78,2,1,7,2,68,874.851652644575,NA,"Estimation"
"58",2909707,"N","NA","Mr",2017-11-23,"J1A 3L",49.1,100,182,64,18,36,2,3,5,27,1,465.066249668598,NA,"Estimation"
"59",1212265,"N","NA","Mr",2018-01-26,"E7B 0V",81.4,242,108,45,17,34,2,14,1,1,18,368.016478110105,NA,"Validation"
"60",2147812,"N","NA","Mr",2018-02-10,"E5A 0R",67.3,216,95,99,18,36,2,7,8,16,5,400.41971732676,NA,"Estimation"
"61",1627434,"N","Student","NA",2017-12-10,"N4X 2K1",118,291,147,42,19,38,2,22,0,14,2,521.761691767722,NA,"Validation"
"62",1151366,"N","NA","NA",2017-11-26,"G0C 3L6",69.2,176,196,33,18,36,2,5,0,0,31,488.373456649482,NA,"Validation"
"63",1738030,"N","NA","Mr",2018-02-26,"J3T 1W6",83.8,173,122,45,24,48,2,32,0,10,6,617.950526922941,NA,"Validation"
"64",2070849,NA,"NA","Mr",2017-12-23,"J5W 0S1",70.6,170,122,10,15,30,2,14,7,2,7,304.842742457986,NA,"Holdout"
"65",1208446,NA,"Senior","Ms",2018-01-08,"G0T 0J4",55.1,132,109,16,12,24,2,7,1,9,7,289.930408403277,NA,"Holdout"
"66",1867646,"N","NA","Mrs",2018-02-10,"A0E 1Y1",73.8,217,188,21,17,17,1,2,1,1,13,216.901834279299,NA,"Validation"
"67",2776150,"N","NA","Mr",2018-02-14,"J5A 2L3",33.9,117,212,42,30,30,1,10,12,3,5,382.401234023273,NA,"Validation"
"68",1372125,NA,"NA","Mr",2018-02-23,"J0M 3W4",99.3,234,216,19,19,38,2,26,2,5,5,395.724007353187,NA,"Holdout"
"69",2476391,"Y","NA","NA",2017-12-26,"V9G 0S7",73.1,187,120,30,15,30,2,2,2,6,20,331.587143484503,4,"Estimation"
"70",2622532,"N","NA","NA",2017-12-01,"G0R 0K",113.5,254,126,39,21,42,2,8,0,1,33,536.033053703606,NA,"Validation"
"71",1364524,"Y","NA","NA",2018-01-05,"J8H 1H",79.5,287,152,62,26,78,3,16,5,16,41,1087.33548762649,1,"Estimation"
"72",2994771,"N","NA","Mr",2018-02-26,"E8B 3A",55.8,170,202,44,27,54,2,28,1,13,12,662.238466925919,NA,"Validation"
"73",1705963,"N","NA","Mrs",2018-02-19,"G0R 1H",82.2,169,173,54,17,51,3,38,1,6,6,643.937339169905,NA,"Validation"
"74",2975680,"N","NA","Mr",2018-01-14,"E5B 1H",51.3,196,127,15,23,46,2,12,8,3,23,543.591197662055,NA,"Validation"
"75",3018625,NA,"Student","NA",2018-02-21,"T1G 3A",44.9,153,180,19,29,87,3,69,7,10,1,1125.33497465216,NA,"Holdout"
"76",1586504,NA,"NA","Mr",2017-12-28,"L6A 3A",75.8,312,163,32,18,36,2,5,2,8,21,434.431359104812,NA,"Holdout"
